korean,chinese,category,note
# 韩语游戏/直播术语库 —— 韩语原词 → 期望中文译法
# 用法：机器翻译完成后，用本表对译文做术语校正/覆盖，修正机翻常错的游戏术语、梗、人名。
# 列说明：
#   korean   = 韩语原词（必填）
#   chinese  = 期望的中文译法（必填）
#   category = 分类，可选（如：通用游戏 / LOL / FPS / 主播梗 / 人名 / 直播用语）
#   note     = 备注，可选（用法、来源、注意事项）
# 规则：
#   - 一行一个词条；以 # 开头的行是注释，会被忽略。
#   - 含逗号的内容请用英文双引号包起来，例如 "한타,교전"。
#   - 同一韩语词可有多条（不同游戏含义不同），用 category 区分。
# 下面是几条示例，照葫芦画瓢补充即可（可删）：
한타,团战,LOL,关键团战
정글,打野,LOL,
와드,眼/插眼,LOL,视野道具
궁,大招,通用游戏,궁극기的简称
스킬,技能,通用游戏,
리젠,刷新/重生,通用游戏,respawn
딜,输出/伤害,通用游戏,damage
탱,坦克,通用游戏,担任前排
힐,奶/治疗,通用游戏,heal
캐리,带飞/carry,通用游戏,
트롤,演员/搅屎,通用游戏,故意送的玩家
gg,gg/认输,直播用语,good game
ㅋㅋㅋ,哈哈哈,直播用语,韩语笑声
ㅠㅠ,呜呜,直播用语,哭脸
시청자,观众,直播用语,
구독,订阅,直播用语,
